morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
lugu,tv,part,oui,pos,prespas,North Baffin,sp,1,s,3,s,lugu,i(l),,&ugu &ugu,a n,,&ugu,n,,&ugu,n,,,?
lugu,tv,part,oui,pos,prespas,North Baffin,sp,2,s,3,s,lugu,i(l),,&ugu &ugu,a n,,&ugu,n,,&ugu,n,,,?
luniuk,tv,part,oui,pos,prespas,North Baffin,sp,3,s,3,s,luniuk,i(l),,&uniuk &uniuk,a n,,&uniuk,n,,&uniuk,n,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,s,1,s,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
luninga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,1,s,luninga,i(l),,tuninga,n,,tuninga,n,,tuninga,n,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,1,s,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
lugu,tv,part,oui,pos,prespas,North Baffin,sp,4,s,3,s,lugu,i(l),,&ugu &ugu,a n,,&ugu,n,,&ugu,n,,,?
lunuk,tv,part,oui,pos,prespas,North Baffin,sp,2,s,1,d,lunuk,i(l),,&unuk &unuk,a n,,&unuk,n,,&unuk,n,,,?
lunitiguk,tv,part,oui,pos,prespas,North Baffin,sp,3,s,1,d,lunitiguk,i(l),,&unitiguk &unitiguk,a n,,&unitiguk,n,,&unitiguk,n,,,?
lunuk,tv,part,oui,pos,prespas,North Baffin,sp,4,s,1,d,lunuk,i(l),,&unuk &unuk,a n,,&unuk,n,,&unuk,n,,,?
lutik,tv,part,oui,pos,prespas,North Baffin,sp,1,s,2,d,lutik,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,?
lunitik,tv,part,oui,pos,prespas,North Baffin,sp,3,s,2,d,lunitik,i(l),,&unitik &unitik,a n,,&unitik,n,,&unitik,n,,,?
lutik,tv,part,oui,pos,prespas,North Baffin,sp,4,s,2,d,lutik,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,?
lugik,tv,part,oui,pos,prespas,North Baffin,sp,1,s,3,d,lugik,i(l),,&ugik &ugik,a n,,&ugik,n,,&ugik,n,,,?
lugik,tv,part,oui,pos,prespas,North Baffin,sp,2,s,3,d,lugik,i(l),,&ugik &ugik,a n,,&ugik,n,,&ugik,n,,,?
lunigik,tv,part,oui,pos,prespas,North Baffin,sp,3,s,3,d,lunigik,i(l),,&unigik &unigik,a n,,&unigik,n,,&unigik,n,,,?
lugik,tv,part,oui,pos,prespas,North Baffin,sp,4,s,3,d,lugik,i(l),,&ugik &ugik,a n,,&ugik,n,,&ugik,n,,,?
luta,tv,part,oui,pos,prespas,North Baffin,sp,2,s,1,p,luta,i(l),,&uta &uta,a n,,&uta,n,,&uta,n,,,?
lunitigut,tv,part,oui,pos,prespas,North Baffin,sp,3,s,1,p,lunitigut,i(l),,&unitigut &unitigut,a n,,&unitigut,n,,&unitigut,n,,,?
luta,tv,part,oui,pos,prespas,North Baffin,sp,4,s,1,p,luta,i(l),,&uta &uta,a n,,&uta,n,,&uta,n,,,?
lusi,tv,part,oui,pos,prespas,North Baffin,sp,1,s,2,p,lusi,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,?
lunisi,tv,part,oui,pos,prespas,North Baffin,sp,3,s,2,p,lunisi,i(l),,&unisi &unisi,a n,,&unisi,n,,&unisi,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,s,2,s,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lunitit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,2,s,lunitit,i(l),,tunitit,n,,tunitit,n,,tunitit,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,2,s,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,s,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lusi,tv,part,oui,pos,prespas,North Baffin,sp,4,s,2,p,lusi,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,1,s,3,p,lugit,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,2,s,3,p,lugit,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lunigit,tv,part,oui,pos,prespas,North Baffin,sp,3,s,3,p,lunigit,i(l),,&unigit &unigit,a n,,&unigit,n,,&unigit,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,4,s,3,p,lugit,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,s,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
luniuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,3,s,luniuk,i(l),,tuniuk,n,,tuniuk,n,,tuniuk,n,,,?
lunga,tv,part,oui,pos,prespas,North Baffin,sp,2,d,1,s,lunga,i(l),,&unga &unga,a n,,&unga,n,,&unga,n,,,?
luninga,tv,part,oui,pos,prespas,North Baffin,sp,3,d,1,s,luninga,i(l),,&uninga &uninga,a n,,&uninga,n,,&uninga,n,,,?
lunga,tv,part,oui,pos,prespas,North Baffin,sp,4,d,1,s,lunga,i(l),,&unga &unga,a n,,&unga,n,,&unga,n,,,?
lutit,tv,part,oui,pos,prespas,North Baffin,sp,1,d,2,s,lutit,i(l),,&utit &utit,a n,,&utit,n,,&utit,n,,,?
lunitit,tv,part,oui,pos,prespas,North Baffin,sp,3,d,2,s,lunitit,i(l),,&unitit &unitit,a n,,&unitit,n,,&unitit,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,s,1,d,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lutit,tv,part,oui,pos,prespas,North Baffin,sp,4,d,2,s,lutit,i(l),,&utit &utit,a n,,&utit,n,,&utit,n,,,?
lugu,tv,part,oui,pos,prespas,North Baffin,sp,1,d,3,s,lugu,i(l),,&ugu &ugu,a n,,&ugu,n,,&ugu,n,,,?
lugu,tv,part,oui,pos,prespas,North Baffin,sp,2,d,3,s,lugu,i(l),,&ugu &ugu,a n,,&ugu,n,,&ugu,n,,,?
lunikku,tv,part,oui,pos,prespas,North Baffin,sp,3,d,3,s,lunikku,i(l),,&unikku &unikku,a n,,&unikku,n,,&unikku,n,,,?
lugu,tv,part,oui,pos,prespas,North Baffin,sp,4,d,3,s,lugu,i(l),,&ugu &ugu,a n,,&ugu,n,,&ugu,n,,,?
