morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
iq,1,sn,nv,m,t,,,si/1vv i/1vv nnik/1vv,iq,n,i(ng),iq,i(a),,iq,s,i(ng),iq,s,i(ng),"to remove; to lack; to be out of; refl.: to give away, to sell, to loose s.t.; with body parts: intrans.: to have cold ...","enlever; manquer de; �tre � court de; r�fl.: donner, vendre, perdre qqch.; avec membres du corps: avoir froid � ...",type:n function:vn function:nn,,,H1,,,m
iq,2,sv,vv,m,n,,,,iq,n,i(ng),iq,i(a),,iq,s,i(ng),iq,s,i(ng),no longer,ne plus,,,,H1,,,m
iqsuq,1,sn,nv,m,i,,,,iqsuq,n,i(ng),iqsuq,i(a),,iqsuq,s,i(ng),iqsuq,s,i(ng),to do a number of times,faire un nombre de fois,nature:nb,,,H1,,,m
irujjaq,1,sn,nn,t,,,,,irujjaq,n,i(ng),irujjaq,i(a),,irujjaq,s,i(ng),irujjaq,s,i(ng),"one who is bereft of s.t., who is left without s.t.","qqn qui est priv� de qqch., qui est laiss� sans qqch.",,,,A1,iq/1nv+uti/1vv+jaq/1vn,,m
irujji,1,sn,nv,m,i,,,,irujji,n,i(ng),irujji,i(a),,irujji,s,i(ng),irujji,s,i(ng),to remove all of s.t.,tout enlever de qqch.,,,,H1,iq/1nv+uti/1vv+ji/1vv,,m
iruti,1,sn,nv,m,t,,,,iruti,n,i(ng),iruti,i(a),,iruti,s,i(ng),iruti,s,i(ng),to remove all of s.t. (refl.: to be bereft of; to run out of),"tout enlever de qqch. (r�fl.: �tre d�poss�d� de qqch., ne plus avoir qqch.)",,,,H1,iq/1nv+uti/1vv,,m
isak,1,sn,nv,m,i,,,,isak,n,,isak,i(a),,isak,s,,isak,s,,to have almost no more of s.t.; there to be almost no more of s.t.,n'avoir presque plus de qqch.; n'y avoir presque plus de qqch.,,,,A1,,,m
it,3,sn,nv,m,i,,,,it,n,i(ng),it it,i(a) i(i),,it,s,i(ng),it it,s s,i(ng) s(a),to be such,�tre tel,type:a,,,H1,,,m
it,1,sn,nv,m,i,,,,it,n,,-,-,,-,-,,-,-,,after -mi: to be in; to exist in; after -tut: to be like,apr�s -mi: �tre dans; exister dans; apr�s -tut: �tre comme,cas:loc cas:sim,,,H1,,,m
it,2,sn,nv,m,i,,,,it,n,i(ng),it it,i(a) i(i),,it,s,i(ng),it it,s s,"i(ng) ssi(i$,a)",to have no s.t.; to be without s.t.,ne pas avoir de; manquer de,"!cp(id:it/3nv),!type:tn",,,H1,,,m
it,1,sv,vv,m,i,,,,it,n,,it,s,,it,s,,it,s,s(a),to be the contrary of,�tre le contraire de,"type:v,nature:a",,,,,,m
jaq,1,sv,vn,t,,,,,jaq,n,,taq,n,,taq,n,,taq,n,,he/that on whom/which the action is done (passive),personne ou chose sur laquelle l'action est accomplie (passif),!id:u/1nv,t,,H1,,,m
jaq,3,sv,vn,t,,,,,jaq,n,,-,-,,-,-,,-,-,,"like, similar to","qui ressemble �, qui est similaire �",id:u/1nv,,,H1,,,m
jaq,1,sv,vv,m,i,,,,jaaq,n,,-,-,,-,-,,-,-,,"to seem, to be, to look, to act like being s.t. or s.o.","sembler, �tre, avoir l'air, agir comme qqch. ou qqn",id:u/1nv,,,H1 A1,,,m
jaq,2,sv,vv,m,n,freq,,,jaq,n,,jaq,s,,jaq,s,,jaq,s,,"multiple action, or action on multiple objects","action multiple, ou action sur objets multiples",,,,S1,,,m
jaqtuq,1,sv,vv,m,t,,,i/1vv,jaqtuq jaaqtuq,n n,,saqtuq,s,,giaqtuq,fus,,riaqtuq,fus,,"go to, go off to, go on to, etc. for a long time",aller faire quelque chose longtemps,,,,H1,,,m
jariaksaq,2,sv,vn,t,,,,,jariaksaq,n,,tariaksaq,n,,giaksaq,fus,,riaksaq,fus,,"gives the verbal root a gerundive (nominal) meaning; when followed by a possessive ending, it has the sens ""whether or not""","tourne le verbe en le nom de l'action; lorsque suivi d'une terminaison possessive, il a le sens de ""si...ou pas""",,,,H1,,,m
jariaq,1,sv,vn,m,,,,,giaq,n,,tariaq,n,,giaq,fus,,riaq,fus,,the obligation to perform an action,l'obligation d'accomplir une action,,,id:qaq/1nv id:lik/1nn,H1,,,m
jariiq,1,sv,vv,m,n,,,,jariiq,n,,tariiq,n,,giiq,fus,,riiq,fus,,action already completed: 'already',action d�j� accomplie: 'd�j�',,,,H1 A1,,,m
jariuq,1,sv,vv,m,n,,,,jariuq,n,,tariuq,n,,giuq,fus,,riuq,fus,,'for the first time','pour la premi�re fois',,,,H1 A1,,,m
jarniq,1,sv,vv,m,t,,,gi/3vv,jarniq,n,,garniq,s,,garniq,fus,,niq,fus,,to be pleasant to...,�tre plaisant � ...,,t,,A1,,,m
ji,1,sv,vn,t,,,,,ji,n,,ti,n,,ti,n,,ti,n,,one whose job is; agent,personne dont le travail est de; agent,type:v function:nv function:vv,,,H1,,,m
ji,1,sv,vv,m,i,,,,ji,n,,-,-,,-,-,,-,-,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajout� � des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour emp�cher qu'ils prennent autrement leurs sens r�fl�chis ou passifs",antipassive:ji/1vv,t,,H1,,,m
jjaa,1,sv,vv,m,n,,,,jjaa,n,,jjaa,s,,jjaa,s,,jjaa,s,,"emphatic future: 'definitely' (always combined with a negative suffix: -nngit-, -junniiq-)","futur emphatique: 'd�finitivement' (toujours combin� � un suffixe n�gatif: -nngit-, -junniiq-)",,,id:junniiq/1vv id:nngit/1vv,H1 A1,,,m
jjaikkut,1,sv,vn,t,,,,,jjaikkut jjaikkuti,n n,,jjaikkut jjaikkuti,s s,,jjaikkut jjaikkuti,s s,,jjaikkut jjaikkuti,s s,,instrument of prevention,"instrument de pr�vention, pour emp�cher",,,,H1,,,m
jjaq,1,sn,nv,m,i,,,,jjaq,n,,jjaq,s,,jjaq,s,,jjaq,s,,to break; to snap off,le bris de quelque chose,,,,A1,,,m
jjiq,2,sn,nv,m,i,,,,jjiq,n,,jjiq,s,,jjiq,s,,jjiq,s,,to receive s.t.,recevoir qqch.,,,,S1,,,m
jjiq,1,sn,nv,m,t,,,i/1vv,jjiq,n,,jjiq,s,,jjiq,s,,jjiq,s,,to put s.t. on s.t. or s.o.,mettre qqch. sur qqch. ou qqn,,,,S1,,,m
jjut,1,sv,vn,t,,,,,jjut jjuti,n n,,jjut jjuti,s s,,jjut jjuti,s s,,rut ruti,fus,,"reason, cause, motive for doing s.t.","raison, cause, motif pour faire qqchose",,,,,,,m
juaq,1,sn,nn,t,,,,,juaq,i(r),,juaq,i(ir),,juaq,son,,juaq,son,,large; big,large; grand; gros,,,,H1 A1,,,m
juaq,2,sv,vv,m,n,,,,juaq,i(r),,juaq,i(ir),,juaq,son,,juaq,son,,"over-sized, exaggerated action",action exag�r�e,,,,A1,,,m
juit,1,sv,vv,m,n,,,,juit suit,n n,,juit tuit,s n,,juit,s,,juit,s,,"rarity of the action: 'rarely', 'seldom'","raret� de l'action: 'rarement', 'peu souvent'",,,,H1,,,m
juksaq,1,sv,vn,t,,,,,juksaq,n,,tuksaq,n,,tuksaq,n,,tuksaq,n,,someone or something who should (is supposed to) perform an action,quelqu'un ou quelque chose qui est suppos� accomplir l'action,,,,H1,juq/1vn+ksaq/1nn,,m
juma,1,sv,vv,m,n,,,,juma guma,n n,,tuma guma,n s,,guma,fus,,ruma,fus,,desire,d�sir,,,,H1,,,m
jumaaq,1,sv,vv,m,n,,,,jumaaq gumaaq,n n,,tumaaq gumaaq,n s,,gumaaq,fus,,rumaaq,fus,,very distant future,futur tr�s �loign�,,,,H1 A1,,,m
juminaq,1,sv,vv,m,i,,,,juminaq guminaq juminak guminak,n n n n,,tuminaq guminaq tuminak guminak,n s n s,,guminaq guminak,fus fus,,ruminaq ruminak,fus fus,,causation of a desire to,cause le d�sir de,,,,H1,,,m
junnanngit,1,sv,vv,m,n,,,,junnanngit junanngit gunnanngit gunanngit,n n n n,,tunnanngit tunanngit gunnanngit gunanngit,n n s s,,gunnanngit gunanngit,fus fus,,runnanngit runanngit,fus fus,,"to not be able to; occasionally means ""never""","ne pas pouvoir; occasionnellement, signifie ""jamais""",,,,H1,junnaq/1vv+nngit/1vv,,m
junnaq,1,sv,vv,m,n,,,,junnaq junaq gunnaq gunaq,n n n n,,tunnaq tunaq gunnaq gunaq,n n s s,,gunnaq gunaq,fus fus,,runnaq runaq,fus fus,,"capability: 'can', 'be able to'","capacit�: 'pouvoir', '�tre capable de'",,,,H1,,,m
junniiq,1,sv,vv,m,n,,,,junniiq juniiq juniq gunniiq guniiq guniq,n n n n n n,,tunniiq tuniiq tuniq gunniiq guniiq guniq,n n n s s s,,gunniiq guniiq guniq,fus fus fus,,runniiq runiiq runiq,fus fus fus,,"cessation of action: 'not any longer', 'not any more'",cessation d'une action: 'ne ... plus',,,,H1,,,m
juq,1,sv,vn,t,,,,,juq,n,,tuq,n,,tuq,n,,tuq,n,,one who/something that does the action,quelqu'un/quelque chose qui accomplit l'action,,,,M1,,,m
juu,1,sv,vv,m,n,,,,juu,n,,juu,s,,juu,s,,juu,s,,distant past and historical past,pass� lointain et pass� historique,,,,H1,,,m
juummi,1,sv,vv,m,n,,,,jummi jumi,i(j) i(j),,jummi jumi,a a,,jummi jumi,son son,,jummi jumi,son son,,"to a small degree, a little",un peu,,,,H1,,,m
k&i,1,sn,nv,m,i,t,,,k&i,n,,r&i,s,s,r&i,s,,r&i,s,,there to be less of X; a diminuation of X,y avoir moins de X; une diminution de X,,,,A1,,,m
kaallaq,1,sv,vv,m,n,,,,kaallaq kaallak,n n,,kaallaq kaallak,s s,,kaallaq kaallak,s s,,kaallaq kaallak,s s,,suddenly,soudainement,,,,H1 A1,,,m
kainnaq,1,sv,vv,m,n,,,,kainnaq,n,,kainnaq,s,,kainnaq,s,,kainnaq,s,,"brief action: 'for a brief time', 'for a short time'",action br�ve: 'pour un court laps de temps',,,,H1,,Cumberland,m
kammiq,1,sv,vv,m,n,,,,kammiq,n,,kammiq,s,,kammiq,s,,kammiq,s,,recently,r�cemment,,,,H1,,,m
kasaak,1,sn,nn,t,,,,,kasaak,n,,kasaak,s,,kasaak,s,,kasaak,s,,incompleteness: 'almost',�tat incomplet: 'presque',,,,A1,,,m
kasak,1,sv,vv,m,n,,,,kasak kasaaq kasaak,n n n,,ksak kasaaq kasaak,s s s,,kasak kasaaq kasaak,s s s,,kasak kasaaq kasaak,s s s,,"incompleteness: 'almost'; with a subordinate clause in the past conditional ('if I had...'), a main verb with this suffix takes on a subjunctive meaning ('I would have...')","action incompl�te: 'presque'; avec une proposition subordonn�e au conditionnel pass� ('si j'avais...'), un verbe principal avec ce suffixe prend un sens subjonctif ('j'aurais ...)",,,,H1 A1,,,m
kautigi,1,sv,vv,m,n,,,,kautigi tsautigi,n n,,kautigi tsautigi,s s,,kautigi tsautigi,s s,,kautigi tsautigi,s s,,(Harper) hastily; quickly; prematurely; (Spalding) simultaneously; at the same time as,(Harper) avec h�te; rapidement; pr�matur�ment; (Spalding) en m�me temps que,,,,H1,,,m
kia,1,q,q,,,,,,kia kiaq,n n,,kia kiaq,s ,,kia kiaq,s s,,kia kiaq,s s,,"uncertainty: 'I wonder', 'I don't know'",incertitude: 'Je me demande'; 'Je ne sais pas',,,,H1,,,m
kisauti,1,sv,vv,m,i,,,,kisauti,n,,kisauti,s,,kisauti,s,,kisauti,s,,competition in the action of the verb,comp�tition dans l'action du verbe,,,number:d number:p,H1,,,m
kit,1,sn,nv,m,i,,,,kit,n,,kit,s,,kit,s,,kit,s,,to have small ...,"avoir un petit, de petits ...",,,mode:ger,H1,,,m
kkaaluk,1,sv,vn,t,,,,,kkaaluk,n,,kkaaluk,s,,kkaaluk,s,,kkaaluk,s,,"a person who performs very well the action of the verb; if at the end of the word, this suffix may have a verbal meaning in the 3rd person: 'he/she/it/they ... well'",une personne qui accomplit tr�s bien l'action du verbe: 'il/elle/ils/elles ... bien',,,,H1,,,m
kkanniq,1,sn,nn,t,,,,,kkanniq kanniq,n n,,kkanniq kanniq,s s,,kkanniq kanniq,s s,,kkanniq kanniq,s s,,"additionnal, more","additionnel, plus",,,,,,,m
kkanniq,1,sv,vv,m,n,,,,kkanniq kanniq,n n,,kkanniq kanniq,s s,,kkanniq kanniq,s s,,kkanniq kanniq,s s,,repetition: 'once again',r�p�tition: 'encore une fois',,,,H1,,,m
kkaq,1,sv,vn,t,,,,,kkaq,n,,kkaq,s,,kkaq,s,,kkaq,s,,a person who performs well the action of the verb,une personne qui accomplit bien l'action du verbe,,,,H1,,,m
kkaq,2,sv,vv,m,t,,,i/1vv,kkaq,n,,kkaq,s,,kkaq,s,,kkaq,s,,to make s.o. do s.t. intentionally,faire intentionnellement faire qqch. � qqn,,,,S1,,,m
kkiq,1,sn,nn,t,,,,,kkiq,n,,kkiq,s,,kkiq,s,,kkiq,s,,a person with large body parts,une personne avec de grosses/grandes parties corporelles,,,,H1,,,m
kkut,1,sn,nn,t,,,,,kkut,n,,kkut,s,,kkut,s,,kkut,s,,"group, family, people related to","groupe, famille, personnes reli�es �",,,,H1 A1,,,m
ksaq,1,sn,nn,t,,,t,,ksaq,n,,ksaq,s,,ksaq,s,,ksaq,s,,"material, something which will become or be made into something else; potential for","mat�riau, quelque chose qui deviendra ou sera utilis� pour quelque chose; potentiel pour",,,,H1 A1,,,m
ksaq,1,sn,nv,m,i,,,,ksaq,n,,ksaq,s,,ksaq,s,,ksaq,s,,to gather s.t. to make an object,rassembler ce qu'il faut pour fabriquer un objet,,,,H1 A1,,,m
ksaq,1,sv,vv,m,i,,,,ksaq,n,,ksaq,s,,ksaq,s,,ksaq,s,,added to gi-verbs to make them intransitive,ajout� aux verbes 'gi' pour les rendre intransitifs,"type:v,intransinfix:ksaq/1vv",i,,H1,,,m
ksaq,2,sv,vv,m,i,,,,ksaq,n,,ksaq,s,,ksaq,s,,ksaq,s,,"to find, consider s.t. or s.o. ...","trouver, consid�rer qqn ou qqch. ...","type:v,nature:a",,,H1,,,m
ksi,1,sv,vv,m,i,,,,ksi,n,,-,-,,-,-,,-,-,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajout� � des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour emp�cher qu'ils prennent autrement leurs sens r�fl�chis ou passifs",antipassive:ksi/1vv,t,,,,,m
kulu,1,sn,nn,t,,,,,kulu kuluk,n n,,kulu kuluk,s s,,kulu kuluk,s s,,kulu kuluk,s s,,reinforcement of the smallness; endearment: 'sweet little',renforcement de l'id�e de petitesse; 'cher petit',,,,H1 A1,,,m
kutaaq,1,sn,nn,t,,,,,kutaaq,n,,kutaaq,s,,kutaaq,s,,kutaaq,s,,"tall, long","grand, long",,,,H1,,,m
kutaaq,1,sv,vv,m,n,,,,kutaaq,n,,kutaaq,s,,kutaaq,s,,kutaaq,s,,"to be, to do for a long time","�tre, faire pendant longtemps",,,,S1,,,m
kuvik,1,sn,nn,t,,,,,kuvik,n,,kuvik,s,,kuvik,s,,kuvik,s,,a place to keep; a container for,un endroit pour garder; un contenant pour,,,,H1,,,m
laaq,1,sn,nn,t,,,,,laaq,n,,laaq,s,,laaq,s,,laaq,s,,diminutiveness: 'small',diminutif: 'petit',,,,H1,,,m
laaq,3,sv,vn,t,,,,,laaq,n,,laaq,s,,laaq,s,,laaq,s,,superlativeness: 'the one that ... the most',superlativit�: 'celui qui ... le plus',,,,H1,,,m
laaq,2,sv,vv,m,n,,,,laaq,n,,laaq,s,,laaq,s,,laaq,s,,far futur,futur �loign�,,,,H1,,,m
lak,1,sv,vv,m,n,,,,lak,i(r),,lak,n,,lak,n,,lak,n,,a little,un peu,,,,A1,,,m
langa,1,sv,vv,m,n,,,,langa,n,,langa,s,,langa,s,,langa,s,,"immediately, right now (today)","imm�diatement, tout de suite (aujourd'hui)",,,,S1,,,m
lataaq,1,sn,nn,t,,,,,lataaq,n,,lataaq,s,,lataaq,s,,lataaq,s,,genuineness: 'real',"v�ritable, vrai",,,,H1,,,m
lataaq,2,sv,vv,m,n,,,,lataaq,n,,lataaq,s,,lataaq,s,,lataaq,s,,"certainty of the action: 'really', 'certainly'","certitude de l'action: 'r�ellement', 'certainement'",,,,H1,,,m
laukak,1,sv,vv,m,n,,,,laukak,n,,laukak,s,,laukak,s,,laukak,s,,"brief action: 'for a brief time', 'for a short time'",action br�ve: 'pour un court laps de temps',,,,H1,,North Baffin,m
lauq,1,sv,vv,m,n,,,,lauq,n,,lauq,s,,lauq,s,,lauq,s,,general perceived past; 'before' or 'after' when completed by partitipial endings,pass� per�u g�n�ral; 'avant' ou 'apr�s' lorsque compl�t� avec des terminaisons au mode participe,,,,H1,,,m
lauq,2,sv,vv,m,n,,,,lauq,n,,lauq,s,,lauq,s,,lauq,s,,priority of the command,priorit� de l'ordre,,,mode:imp,H1 A1,,,m
lauqsima,1,sv,vv,m,n,,,,lauqsima,n,,lauqsima,s,,lauqsima,s,,lauqsima,s,,past indefinite tense,pass� ind�fini,,,,H1,lauq/1vv+sima/1vv,,m
lauqsimajunniiq,1,sv,vv,m,n,,,,lauqsimajunniiq,n,,lauqsimajunniiq,s,,lauqsimajunniiq,s,,lauqsimajunniiq,s,,"the action ceased ages ago, a long time ago = to not  have done for a long time",l'action a cess� il y a tr�s longtemps = ne pas avoir fait depuis longtemps,,,,A1,lauq/1vv+sima/1vv+junniiq/1vv,,m
li,3,sn,nv,m,i,t,,,li,n,,li,s,,li,s,,li,s,,"to build, make something (trans.: for s.o.); with certain words: find s.t.",construire qqch. (trans.: pour qqn); avec certains mots: trouver qqch.,,,,H1,,,m
li,1,q,q,,,,,,li,n,,li,son,,li,son,,li,son,,but,mais,,,,H1,,,m
li,4,sv,vv,m,i,,,,-,-,,li li,s son,,-,-,,-,-,,to do s.t. in this way,faire qqch. de cette mani�re,id:it/3nv,,,S1,,,m
li,2,sv,vv,m,t,,,ksi/1vv i/1vv,li,n,,li,s,,li,s,,li,s,,to make that s.t. or s.o. ... (refl.: to become); to make s.t. (trans.: to s.o.),faire que qqch. ou qqn ... (r�fl.: devenir); fabriquer qqch. (trans.: pour qqn),!cp(id:li/4vv),,,H1,,,m
liaq,1,sn,nn,t,,,,,liaq,n,,liaq,s,,liaq,s,,liaq,s,,something constructed,quelque chose qui a �t� construit,,,,H1,,,m
liaq,2,sn,nv,m,i,,,,liaq,n,,siaq liaq,s i(i),,liaq,s,,liaq,s,,"motion towards: 'to go to'; 'to go hunting' with game-animal nouns, when the hunter knows where to head","mouvement vers; 'aller �, vers'; 'aller chasser' avec des noms d'animaux, lorsque le chasseur sait o� aller",,,,H1,,,m
ligaa,1,sv,vv,m,n,,,,ligaa,n,,ligaa,s,,ligaa,s,,ligaa,s,,imminent action: 'to be about to',action imminente: '�tre sur le point de',,,,H1,,,m
lijaq,1,sn,nv,m,i,,,,lijaq,n,,sijaq lijaq,s i(i),,lijaq,s,,lijaq,s,,to bring along,apporter avec soi,,,,A1,liq/2nv+jaq/2vv,,m
lik,1,sn,nn,t,,,,,lik,n,,lik,s,,lik,s,,lik,s,,"possession: 'one with' (at the end of the word, it may have a verbal meaning in the 3rd person)","possession: 'quelqu'un avec' (en position finale, il peut prendre un sens verbal � la 3�me personne)",,,,H1,,,m
lik,2,sn,nv,m,i,,,,lik,n,,lik,s,,lik,s,,lik,s,,to go to; to have gone to; to come to; to find by chance,"aller �; rencontrer, trouver par hasard",,,,,,,m
lik,3,sn,nv,m,t,,,si/1vv,lik,n,,lik,s,,lik,s,,lik,s,,"to give, to provide, to offer, to fetch s.t. (trans.: to s.o.)","donner, fournir, offrir, aller chercher qqch. (trans.: � qqn)",,,,,,,m
limaaq,1,sn,nn,t,,,,,limaaq,n,,limaaq,s,,limaaq,s,,limaaq,s,,"inclusiveness: 'all of', 'the whole of'; (plur.) every","inclusion: 'tout le', 'l'ensemble de'; (pluriel) chacun de, chaque",,,,H1,,,m
limaaq,2,sv,vv,m,n,,,,limaaq,n,,limaaq,s,,limaaq,s,,limaaq,s,,ceaselessly,sans cesse,,,,S1,,,m
liq,3,sn,nv,m,i,,,,liq,n,,liq,s,,liq,s,,liq,s,,"to go to, toward","aller �, vers",,,,,,,m
liq,2,sn,nv,m,t,,,i/1vv,liq,n,,siq,s,,liq,s,,liq,s,,"to provide, supply; to put s.t. (trans.: to, on s.o.)","fournir; mettre qqch. (trans.: �, sur qqn)",,,,A1,,,m
liq,1,sv,vv,m,n,,,,liq,n,,liq,s,,liq,s,,liq,s,,on-going action; present progressive tense,action en cours,,,,H1,,,m
liqi,1,sn,nv,m,i,,,,liqi,n,,liqi,?,,liqi,s,,liqi,s,,"to chase, hunt","poursuivre, chasser",,,,A1,,,m
lirai,1,sv,vv,m,n,,,,lirai,n,,lirai,s,,lirai,s,,lirai,s,,no meaning,aucune signification,,,,H1,liq/1vv+gai/1vv,,m
liri,1,sn,nv,m,i,,,,liri,n,,liri siri,i(i) s,,liri,s,,liri,s,,"manipulation: 'to work with, on'","manipulation: 'travailler avec, sur'",,,,H1 A1,,,m
lisaaq,1,sv,vv,m,n,,,,lisaaq,n,,lisaaq,s,,lisaaq,s,,lisaaq,s,,"just beginning, in the first stage of, for the fist time; to have just happened","venir juste de commencer �, venir juste d'arriver, pour la premi�re fois, venir seulement de",,,,H1 A1,,,m
lisaq,1,sn,nn,t,,,,,lisaq,n,,lisaq,s,,lisaq,s,,lisaq,s,,container or holder for body parts,contenant ou soutien pour des parties du corps,,,,H1,,,m
litainnaq,1,sv,vv,m,n,,,,litainnaq,n,,litainnaq,s,,litainnaq,s,,litainnaq,s,,at last; finally,enfin; finalement,,,,A1,,,m
liuq,1,sn,nv,m,t,,,ri/1vv,liuq,n,,liuq tiuq siuq,s n n,,liuq,s,,liuq jjiuq,s s,,construction in progress: 'to be building s.t.' (trans.: for s.o.),construction en cours: '�tre en train de construire qqch.' (trans.: pour qqn),,,,H1,li/2vv+uq/3vv,,m
llaaluk,1,sv,vn,t,,,,,llaaluk,n,,llaaluk,s,,llaaluk,s,,llaaluk,s,,"exaggeration, largeness, impressiveness of the action",exag�ration de l'action,,,,H1,,,m
llaq,1,sv,vv,m,n,,,,llaq,n,,llaq,s,,llaq,s,,llaq,s,,heavily; clumsily,pesamment; maladroitement,,,,A1,,,m
llarik,2,sn,nn,t,,,,,llarik larik,n n,,llarik larik,s s,,llarik larik,s s,,llarik larik,s s,,genuineness: 'real',"v�ritable, vrai",,,,H1,,,m
llarik,1,sv,vv,m,n,,,,llarik larik,n n,,llarik larik,s s,,llarik larik,s s,,llarik larik,s s,,"certainty of the action: 'really', 'certainly'","certitude de l'action: 'r�ellement', 'certainement'",,,,H1,,,m
lu,1,q,q,,,,,,lu,n,,lu,son,,lu,son,,lu,son,,and,et,,,,H1,,,m
luaq,2,sn,nn,t,,,,,luaq,n,,luaq,s,,luaq,s,,luaq,s,,exact,exact,,,,H1,,,m
luaq,1,sv,vv,m,n,,,,luaq lluaq,n n,,luaq lluaq,s s,,luaq lluaq,s s,,luaq lluaq,s s,,excessive action: 'too much'; 'quite',action excessive: 'trop'; 'tout � fait',,,,H1,,,m
luk,2,sn,nn,t,,,,,luk,n,,luk,s,,luk,s,,luk,s,,something bad or poor,quelque chose de mauvais ou de pauvre qualit�,,,,H1,,,m
luk,1,sn,nv,m,i,,,,luk,n,,luk,s,,luk,s,,luk,s,,to have something bad or poor,avoir quelque chose qui est mauvais ou de pauvre qualit�,,,,H1,,,m
luk,3,sv,vv,m,n,,,,luk,n,,luk,s,,luk,s,,luk,s,,to perform an action in a poor or bad manner,accomplir une action d'une mauvaise ou d'une pi�tre fa�on,,,,H1,,,m
luktaaq,1,sn,nn,t,,,,,luktaaq,n,,luktaaq,s,,luktaaq,s,,luktaaq,s,,"inclusiveness: 'all of', 'the whole of'","inclusion: 'tout le', 'l'ensemble de'",,,,A1,,,m
luktaat,1,sn,nn,t,,,,,luktaat,n,,luktaat,s,,luktaat,s,,luktaat,s,,inclusiveness: 'every',inclusion: 'tous les',,,,A1,,,m
luunniit,1,q,q,,,,,,luunniit lunniit,n n,,luunniit lunniit,son son,,luunniit lunniit,son son,,luunniit lunniit,son son,,or; even; 'either...or' when used on two words,ou; m�me; 'ou...ou' lorsqu'utilis� sur deux mots,,,,H1 A1,,,m
ma,1,sv,vv,m,n,,,,ma uma,n n,,ma uma,s s,,ma uma,s s,,ma uma,s s,,to be in a state of,�tre dans un �tat de,,,,H1 A1,,,m
mi,1,sv,vv,m,n,,,,mi,i(ng),,mi,a,,mi,son,,mi,son,,again,encore; de nouveau,,,mode:imp mode:part mode:caus mode:cond mode:freq mode:dub mode:ger,H1,,,m
miik,1,sv,vn,t,,,,,miik mii mi,n n n,,miik mii mi,nas nas nas,,miik mii mi,nas nas nas,,miik mii mi miik mii mi,nas nas nas s s s,,"exclamation: ""Oh! how ...!""","exclamation: ""Oh! comme c'est ...!""",,,,,,,m
miniq,1,sn,nn,t,,,,,miniq,n,,miniq,s,,miniq,s,,miniq,s,,denotes a former state; unperceived past following gerundive ending,d�note un �tat ant�rieur; pass� non per�u lorsqu'il suit une terminaison g�rondive,,,,H1,,,m
miuq,1,sn,nn,t,,,,,miuq,n,,miuq,nas,,miuq,nas,,miuq,nas,,resident of a place name,r�sidant d'un nom d'endroit,,,,H1,,,m
miutaq,1,sn,nn,t,,,,,miutaq miut,n n,,miutaq miut,a i(i),,miutaq miut,nas nas,,miutaq miut,nas nas,,resident of; apendage to; contents of,"qui a r�sidence, qui habite �; qui se porte �",,,,H1,,,m
mmarik,1,sn,nn,t,,,,,mmarik,n,,mmarik,s,,mmarik,s,,mmarik,s,,genuineness,v�ritable,,,,H1,,,m
mmarik,2,sv,vv,m,n,,,,mmarik,n,,mmarik,s,,mmarik,s,,mmarik,s,,"certainty: 'really', 'certainly'","certitude: 'r�ellement', 'certainement'",,,,H1,,,m
mmiaq,1,sv,vv,m,n,,,,mmiaq miaq,n n,,mmiaq miaq,s s,,mmiaq miaq,s s,,mmiaq miaq,s s,,contituity in the action; repetition of the action,continuit� dans l'action; r�p�tition de l'action,,,,S1,,,nm
najaq,1,sv,vv,m,n,,,,najaq gajaq,n n,,najaq,a,,gajaq,fus,,rajaq,fus,,action dependent on a condition: 'would',action d�pendante d'une condition,,,,H1 A1,,,m
nanngit,1,sv,vv,m,n,,,,nanngit,n,,nanngit,nas,,nanngit,nas,,nanngit,nas,,to prevent,emp�cher,,,,H1,naq/1vv+nngit/1vv,,m
naq,2,sv,vn,t,,,,,naq naq nak nak,n i(n) n i(n),,naq nak,nas nas,,naq nak,nas nas,,naq nak,nas nas,,1) exclamation: how...it is! 2) that which causes...,1) exclamation: comme c'est...! 2) qqch. qui cause...,,,,H1,,,nm
naq,1,sv,vv,m,n,,,,naq naq nak nak,n i(n) n i(n),,naq nak,nas nas,,naq nak,nas nas,,naq nak,nas nas,,causation: 'to cause'; 'to make ...',"cause: 'causer, produire, rendre'",,,,H1,,,m
nasaaq,1,sv,vv,m,n,,,,nasaaq,n,,nasaaq,son,,nasaaq,son,,nasaaq,son,,late,tard,,,,H1,,,m
